row_order_in_fig1b	signature_id	region	input_dataset	source_label	raw_up	raw_down	raw_total	cmap_up	cmap_down	cmap_total	used_up	used_down	used_total	gene_id_type_in_file	top_up_applied	top_down_applied	up_file	down_file	note
1	TL_Bulk_microarray_Temporal_entorhinal_bulk	TL	Bulk microarray	Temporal/entorhinal bulk	132	191	323	130	182	312	130	150	280	entrez		150	resources/AD_DEG/TL/TL_Bulk_microarray_Temporal_entorhinal_bulk_up.txt	resources/AD_DEG/TL/TL_Bulk_microarray_Temporal_entorhinal_bulk_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
2	TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847	TL	Bulk RNA-seq	Entorhinal bulk, PMID31063847	161	186	347	110	123	233	110	123	233	entrez			resources/AD_DEG/TL/TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847_up.txt	resources/AD_DEG/TL/TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
3	TL_Neuron_Entorhinal_neuron	TL	Neuron	Entorhinal neuron	263	165	428	182	99	281	150	99	249	symbol	150		resources/AD_DEG/TL/TL_Neuron_Entorhinal_neuron_up.xlsx	resources/AD_DEG/TL/TL_Neuron_Entorhinal_neuron_down.xlsx	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
4	TL_Microglia_Entorhinal_microglia	TL	Microglia	Entorhinal microglia	171	142	313	119	96	215	119	96	215	symbol			resources/AD_DEG/TL/TL_Microglia_Entorhinal_microglia_up.xlsx	resources/AD_DEG/TL/TL_Microglia_Entorhinal_microglia_down.xlsx	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
5	TL_Endothelial_cell_Entorhinal_endothelial	TL	Endothelial cell	Entorhinal endothelial	119	98	217	89	59	148	89	59	148	symbol			resources/AD_DEG/TL/TL_Endothelial_cell_Entorhinal_endothelial_up.xlsx	resources/AD_DEG/TL/TL_Endothelial_cell_Entorhinal_endothelial_down.xlsx	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
6	TL_Astrocyte_Entorhinal_astrocyte	TL	Astrocyte	Entorhinal astrocyte	326	374	700	227	190	417	150	150	300	symbol	150	150	resources/AD_DEG/TL/TL_Astrocyte_Entorhinal_astrocyte_up.xlsx	resources/AD_DEG/TL/TL_Astrocyte_Entorhinal_astrocyte_down.xlsx	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
7	TL_Oligodendrocyte_Entorhinal_oligodendrocyte	TL	Oligodendrocyte	Entorhinal oligodendrocyte	126	102	228	91	57	148	91	57	148	symbol			resources/AD_DEG/TL/TL_Oligodendrocyte_Entorhinal_oligodendrocyte_up.xlsx	resources/AD_DEG/TL/TL_Oligodendrocyte_Entorhinal_oligodendrocyte_down.xlsx	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
8	TL_Oligodendrocyte_progenitor_cell_Entorhinal_OPC	TL	Oligodendrocyte progenitor cell	Entorhinal OPC	260	212	472	178	112	290	150	112	262	symbol	150		resources/AD_DEG/TL/TL_Oligodendrocyte_progenitor_cell_Entorhinal_OPC_up.xlsx	resources/AD_DEG/TL/TL_Oligodendrocyte_progenitor_cell_Entorhinal_OPC_down.xlsx	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
9	FL_Bulk_microarray_Prefrontal_bulk_microarray	FL	Bulk microarray	Prefrontal bulk microarray	194	266	460	172	226	398	150	150	300	symbol	150	150	resources/AD_DEG/FL/FL_Bulk_microarray_Prefrontal_bulk_microarray_up.txt	resources/AD_DEG/FL/FL_Bulk_microarray_Prefrontal_bulk_microarray_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
10	FL_Bulk_RNA_seq_Prefrontal_bulk_RNA_seq	FL	Bulk RNA-seq	Prefrontal bulk RNA-seq	1654	1844	3498	1094	1274	2368	150	150	300	symbol	150	150	resources/AD_DEG/FL/FL_Bulk_RNA_seq_Prefrontal_bulk_RNA_seq_up.txt	resources/AD_DEG/FL/FL_Bulk_RNA_seq_Prefrontal_bulk_RNA_seq_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
11	FL_Excitatory_neuron_Prefrontal_excitatory_neuron	FL	Excitatory neuron	Prefrontal excitatory neuron	191	565	756	128	384	512	128	150	278	symbol		150	resources/AD_DEG/FL/FL_Excitatory_neuron_Prefrontal_excitatory_neuron_up.txt	resources/AD_DEG/FL/FL_Excitatory_neuron_Prefrontal_excitatory_neuron_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
12	FL_Inhibitory_neuron_Prefrontal_inhibitory_neuron	FL	Inhibitory neuron	Prefrontal inhibitory neuron	3	51	54	1	32	33	1	32	33	symbol			resources/AD_DEG/FL/FL_Inhibitory_neuron_Prefrontal_inhibitory_neuron_up.txt	resources/AD_DEG/FL/FL_Inhibitory_neuron_Prefrontal_inhibitory_neuron_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
13	FL_Microglia_Prefrontal_microglia	FL	Microglia	Prefrontal microglia	22	13	35	19	9	28	19	9	28	symbol			resources/AD_DEG/FL/FL_Microglia_Prefrontal_microglia_up.txt	resources/AD_DEG/FL/FL_Microglia_Prefrontal_microglia_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
14	FL_Astrocyte_Prefrontal_astrocyte	FL	Astrocyte	Prefrontal astrocyte	22	29	51	18	22	40	18	22	40	symbol			resources/AD_DEG/FL/FL_Astrocyte_Prefrontal_astrocyte_up.txt	resources/AD_DEG/FL/FL_Astrocyte_Prefrontal_astrocyte_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
15	FL_Oligodendrocyte_Prefrontal_oligodendrocyte	FL	Oligodendrocyte	Prefrontal oligodendrocyte	44	52	96	34	41	75	34	41	75	symbol			resources/AD_DEG/FL/FL_Oligodendrocyte_Prefrontal_oligodendrocyte_up.txt	resources/AD_DEG/FL/FL_Oligodendrocyte_Prefrontal_oligodendrocyte_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
16	FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC	FL	Oligodendrocyte progenitor cell	Prefrontal OPC	10	18	28	4	10	14	4	10	14	symbol			resources/AD_DEG/FL/FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC_up.txt	resources/AD_DEG/FL/FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
17	PL_Bulk_microarray_Parietal_bulk	PL	Bulk microarray	Parietal bulk	793	943	1736	583	796	1379	150	150	300	entrez	150	150	resources/AD_DEG/PL/PL_Bulk_microarray_Parietal_bulk_up.txt	resources/AD_DEG/PL/PL_Bulk_microarray_Parietal_bulk_down.txt	Counts before PPARG/NR3C1/BChE/VEGFR target-axis filtering
